userId,viewCount
7103079,71
4216951,71
7369919,71
4002768,71
5812415,71
2449337,71
6393967,71
253877,71
7149000,71
8402408,70
5082433,70
2108336,70
6427104,70
4979815,70
4436428,70
9938895,70
178325,70
2197446,70
4051323,70
4256666,70
3411580,70
6511999,70
5753142,70
1423163,70
2629780,69
1268013,69
7726909,69
9786143,69
1054737,69
4337489,69
4016310,69
10510392,69
5322998,69
7730504,69
4635378,69
9168996,69
11114228,69
1727041,69
9234618,69
431764,69
4241400,69
3730918,69
7140032,69
2794036,69
5195421,68
484260,68
6101774,68
2334153,68
7014186,68
7343019,68
9982236,68
7849762,68
3842165,68
8978728,68
9715192,68
447104,68
6978430,68
6098156,68
85656,68
4198140,68
1788361,68
3896025,68
9637837,68
5235323,68
4052405,67
2000507,67
8550060,67
1667441,67
6477482,67
581786,67
1728610,67
6507535,67
434884,67
6322349,67
202187,67
2167670,67
3444246,67
3823856,67
2842457,67
6251094,67
7623849,67
52753,66
9331228,66
6025138,66
101918,66
9424195,66
6979054,66
4703800,66
4843062,66
43458,66
7109258,66
3744469,66
2510886,66
2662240,66
9713357,66
7363106,66
952355,65
310138,65
3333739,65
3230816,65
4986546,65
3750441,65
7801146,65
7709036,65
176397,65
7042991,65
1711276,65
8805160,65
6404960,65
4247783,65
8667967,64
7448279,64
104089,64
7300812,64
2180620,64
4323573,64
764940,64
8831243,64
3919992,64
889604,64
2617621,64
3945440,64
9342872,64
9046448,64
2644514,64
5230715,64
1462110,64
822139,64
10138742,64
7154481,64
870154,64
767209,64
790082,63
8927403,63
6447204,63
7355695,63
8631487,63
6596459,63
3896981,63
1490212,63
2132892,63
2682617,63
6480088,63
6100728,63
1685556,63
2399837,63
4069494,63
3100235,63
10108330,63
6486109,63
11437209,62
3741874,62
1423490,62
6119180,62
5781708,62
10350731,62
3469465,62
11289074,62
4201600,62
4616094,62
7082868,62
4768839,62
490281,62
7695232,62
5467749,62
982905,62
7854667,62
10327147,62
3463369,62
4075978,61
3650625,61
2178958,61
551030,61
1315752,61
7710941,61
1164905,61
257842,61
8754075,61
2970606,61
11349489,61
6369535,61
10181448,61
3916904,61
10909104,61
3226634,61
1073391,61
9508107,61
5880389,61
175560,61
492754,61
1609185,61
7666307,61
6964455,60
3773719,60
541734,60
2493590,60
9044693,60
9875653,60
4097574,60
5866802,60
3921172,60
714146,60
8211115,60
4001022,60
2442022,60
115184,60
1026487,60
1569252,60
4408301,60
4488620,60
7539584,60
3352910,60
11066466,60
1861439,59
2696376,59
94845,59
841236,59
3243285,59
1308844,59
2277198,59
1967536,59
3165160,59
11444994,59
59622,59
9273752,59
9735990,59
5473023,59
815229,59
8056592,59
2763905,59
2994206,59
2765322,59
4023096,59
11004313,59
5107417,59
5519905,59
1782455,59
40328,59
1412957,59
48302,58
2983867,58
1228945,58
682101,58
729839,58
5041832,58
10230891,58
2483751,58
4428955,58
5978135,58
1244442,58
2823016,58
349177,58
4798796,58
26957,58
4384007,58
8183237,58
1956556,58
3315035,58
315564,58
7242229,58
7658639,58
1628258,57
11586,57
539093,57
3018115,57
6336308,57
218318,57
6587119,57
2446731,57
5935236,57
7581916,57
4995785,57
7731004,57
4734939,57
5040622,57
10698867,57
9168815,57
1177495,57
6806255,57
7840012,57
76340,57
261886,56
10030847,56
983375,56
324081,56
3367206,56
2979177,56
3118849,56
10355016,56
464051,56
2000228,56
2853815,56
5133753,56
8720120,56
3549302,56
445883,56
10795598,56
7566957,56
4289787,56
3510075,56
9038175,55
561112,55
1848627,55
1263887,55
2886120,55
562990,55
2061456,55
9861819,55
1856486,55
8890026,55
3203522,55
6849796,55
28979,55
5453042,55
11541848,55
149064,55
5386107,55
6552840,55
5456872,55
258131,55
942591,55
2241974,55
8593975,55
4690972,55
7404250,55
6139567,55
2851376,54
124387,54
2839179,54
4244183,54
4070943,54
10196089,54
7958334,54
3170950,54
14777,54
7847091,54
9462023,54
653719,54
579534,54
6130451,54
1395310,54
2037259,54
5823405,54
2443217,54
3863829,54
5059922,53
8020157,53
4496005,53
6978952,53
9666416,53
11056708,53
85443,53
2366507,53
8852385,53
52170,53
187557,53
4069447,53
10582693,53
9840815,53
2458699,53
2074227,53
7259921,53
3136090,53
4898942,53
128233,53
6331423,53
5025559,53
4193469,53
6298432,53
4164141,53
5161189,53
8741632,53
5257392,53
7723177,52
8020418,52
4850793,52
8124482,52
2733242,52
10510719,52
8235288,52
1480482,52
1671902,52
4798142,52
8553883,52
1042403,52
7699153,52
5536526,52
5782065,52
6123890,52
10064600,52
8286415,52
9501147,52
1874411,52
2235922,52
10584910,52
1283083,52
256438,52
9719302,52
3901260,52
6637573,52
26699,52
3193,51
2700350,51
1779737,51
303096,51
2206082,51
4183282,51
184182,51
1118415,51
7957183,51
16496,51
4168519,51
5177472,51
101512,51
3356886,51
8724111,51
2288520,51
4219140,51
11483764,51
35241,51
1536247,51
8281460,51
2189676,51
11522084,51
7547413,51
3040566,51
8799873,51
10304766,51
8404959,51
6825169,51
11304131,51
3222642,50
9975578,50
3801244,50
7994986,50
9181225,50
1610068,50
2252396,50
2663571,50
7618214,50
11476543,50
1860213,50
568963,50
3969177,50
996946,50
2273,50
4490912,50
10363938,50
4947193,50
2456872,50
499029,50
1460730,50
6897709,50
3875122,50
93266,50
10066897,50
6505598,50
9562987,50
5415459,50
11012357,50
3587779,50
6747171,50
6857915,50
4140234,50
11494836,49
592928,49
4466292,49
2697635,49
91125,49
3153961,49
9419936,49
9333948,49
7137814,49
4085890,49
1299244,49
5951175,49
6695614,49
11294221,49
7017889,49
8750838,49
3638070,49
7908,49
1353786,49
220490,49
7910163,49
16870,49
2141037,49
6331585,49
6348405,49
2755822,49
1731855,49
2647030,49
988123,49
6853720,49
2780963,49
3000199,49
3129836,49
4596737,49
1267595,49
3505669,49
1368043,49
6850039,49
7445037,48
3295972,48
481990,48
1112569,48
1027452,48
392451,48
6589955,48
