t_sec,rate_per_sec
733.9,27.937388927740887
739.0,39.817748836516884
744.0,28.650465069345373
749.1,44.977212673853174
754.2,39.59231675333523
759.4,41.36206269592246
765.8,29.089771417960367
770.9,57.3834710271461
775.9,40.29376842059234
781.0,37.89514891470397
786.1,52.246190658049436
793.9,18.658146851157856
798.9,238.02900890443416
804.0,207.16418500200484
809.0,202.3454526360725
814.0,95.00099754981102
819.0,73.13195454240928
824.3,59.732824318767825
830.7,47.589425842809696
835.8,31.101425708125127
840.8,23.3617100054141
846.0,39.73638363698929
851.1,27.73406836038592
856.2,22.23081342306254
861.4,13.045171547880194
866.4,49.46576832460665
871.5,27.995301268337354
876.6,39.49447162199731
881.7,26.05288922685222
886.9,24.62011981370791
893.7,40.42334138493959
898.8,30.596131162033146
903.8,31.658093221194516
908.9,44.875564048234466
916.1,29.050278981367956
921.1,213.74652704071198
926.1,157.66393636139333
931.2,243.93132453168653
936.2,117.9976180875306
941.3,84.47624496103224
946.3,51.16002396950625
951.6,28.484618130723195
958.1,39.663093588785635
963.2,46.4702399909102
968.2,44.64285748075196
973.3,40.57514167285215
978.3,40.990099396942625
983.4,37.25490265743223
988.6,36.6776626688565
993.6,49.6636337407489
998.8,35.64509920720972
1003.9,31.724137632960637
1009.0,30.487804214643873
1014.4,34.31645314177175
1021.4,23.444160711198773
1026.4,19.25367168389956
1033.9,23.243388207719978
1038.9,221.66997087311913
1044.0,150.52694954960268
1049.0,159.4664542496201
1054.0,169.08404555732344
1059.2,93.69509787587342
1064.2,54.919003952934794
1069.3,41.74872136412242
1074.4,50.27173728791009
1079.5,35.02869600937405
1086.5,46.63434215698572
1091.6,36.45320162793614
1096.7,39.58658330137294
1101.8,35.27788643297292
1106.9,39.632956038955975
1112.2,34.76946454393029
1117.5,32.13610464348785
1122.6,37.029742683092394
1127.7,35.2457420084023
1132.8,34.03596980664535
1138.2,37.225042261138675
1143.2,32.58937258761894
1149.7,32.81972260200412
1154.9,31.450205159867046
1161.7,23.663452438838114
1166.8,195.8457039800481
1171.8,141.97898124870727
1176.9,184.5025761585768
1181.9,261.9521922303469
1187.0,108.44321792532295
1192.0,60.166798887348406
1197.1,55.38036920483459
1202.2,43.698791097786874
1207.3,39.58455868010202
1213.7,35.95435318516149
1218.7,31.843354466417946
1224.0,10.135781504800175
1229.0,23.20047488931951
1234.1,27.821317414968902
1239.3,20.620542941900485
1244.5,14.959723858790538
1249.6,7.709033382559693
1254.7,28.013414843106325
1259.7,28.876582311161616
1265.0,31.26191495300845
1270.1,9.262832596668103
1277.0,38.28306315326553
1282.4,32.98350845809575
1287.6,17.22158415320323
1292.7,31.79932868899777
1297.7,36.45320162793614
1302.8,36.90546738464837
1307.9,30.087093947490526
1312.9,39.471088111923386
1318.0,41.139240552887784
1323.0,18.9243019619616
1328.1,203.9045609132217
1333.1,203.42356973646253
1339.8,191.042994023608
1344.9,79.14523305298628
1349.9,54.43388707605194
1355.0,50.73325402427031
1360.0,38.902054547667355
1365.1,35.24752508529366
1370.2,28.177339636729013
1375.2,29.744199982271077
1380.3,25.107045487090826
1385.4,22.888713143266184
1390.9,35.915109666059166
1396.1,21.443614577175634
1403.8,16.793492567874768
1408.9,26.423158739939993
1414.0,27.541113907489244
1419.2,20.81741763357633
1424.3,24.527935329851907
1429.4,25.378713634423683
1434.6,19.436346039012417
1439.6,29.34803936531539
1444.7,12.036306049476183
1449.8,28.410196873714888
1455.3,20.76060965946968
1460.5,22.251807206516837
1468.2,18.86051082905931
1473.5,16.23254028331129
1478.6,6.237816914883031
1483.6,0
1490.3,0
1495.4,0
1500.4,0
