t_sec,count,p50_ms,p95_ms,p99_ms,p999_ms
536.0,3946,52.77352716143841,853.0727318803853,970.6145463760771,997.0614546376079
541.1,3219,50.31847133757962,851.5377446411931,970.3075489282387,997.0307548928236
546.1,4071,27.525172231054587,825.0614099729794,965.0122819945962,996.5012281994594
551.1,3149,51.53671950824976,852.4293426484596,970.4858685296917,997.0485868529693
556.2,3378,41.59805510534846,841.7998815867378,968.3599763173478,996.8359976317347
561.2,2891,55.68787771062922,856.8834313386371,971.3766862677275,997.1376686267729
566.3,3797,30.652048470859782,828.8319726099548,965.7663945219908,996.5766394521992
571.6,3342,44.71112578408716,845.0553560742069,969.0110712148412,996.9011071214842
578.0,3505,59.44492879976751,860.1854493580596,972.037089871612,997.2037089871613
583.1,3183,46.467713787085515,847.2510210493242,969.450204209865,996.9450204209865
588.2,2581,67.17693836978131,868.016272762495,973.6032545524989,997.3603254552498
593.2,3343,43.75745526838966,843.9425665569845,968.788513311397,996.8788513311399
599.1,2721,55.251865671641795,855.926130099228,971.1852260198457,997.1185226019845
604.1,14712,34.579934747145195,830.7249184339315,966.1449836867864,996.6144983686785
609.1,15301,30.564668975883933,825.705836219855,965.1411672439709,996.5141167243969
614.2,13521,23.81406700687819,817.2675837585973,963.4535167517193,996.345351675172
619.3,2935,58.57316227461859,859.2930153321975,971.8586030664394,997.1858603066439
624.4,2542,59.956665290961624,861.8312352478363,972.3662470495673,997.2366247049565
629.4,3939,32.1656050955414,830.3884234577304,966.0776846915459,996.6077684691547
634.6,3854,26.33436882236656,823.7804878048777,964.7560975609757,996.4756097560974
641.0,3242,60.29647435897436,861.7905613818629,972.3581122763727,997.2358112276373
646.1,2568,65.97250303275375,867.2313084112146,973.4462616822428,997.3446261682242
651.1,3291,39.393732970027244,839.2206016408387,967.8441203281676,996.7844120328166
656.2,3483,39.50924155513066,838.7596899224806,967.7519379844962,996.7751937984497
661.3,2684,50.09641342074817,851.7883755588673,970.3576751117732,997.0357675111773
666.4,2446,66.69164882226981,868.2031888798037,973.6406377759605,997.364063777596
671.4,2342,67.3841059602649,868.4564474807853,973.6912894961572,997.3691289496156
676.5,3075,41.259418729817014,841.772357723577,968.3544715447157,996.8354471544716
681.6,2476,52.491482112436124,854.9474959612276,970.9894991922456,997.0989499192245
686.7,2397,61.14497170222029,862.7659574468083,972.5531914893617,997.2553191489363
691.7,2609,61.237623762376245,862.4856266768875,972.4971253353776,997.2497125335377
697.0,4544,35.549212148892444,833.0215669014085,966.6043133802817,996.6604313380283
703.5,19362,28.492924284681337,823.1161553558514,964.6232310711705,996.4623231071173
708.6,16648,29.42215281114849,824.2776910139354,964.8555382027872,996.4855538202785
713.6,9380,33.04904051172708,828.811300639659,965.7622601279317,996.5762260127931
718.8,3700,49.88071570576541,850.2365504190321,970.0473100838065,997.0047310083808
723.8,3070,54.88640160374207,856.0179153094464,971.203583061889,997.1203583061888
728.9,3240,31.075195644777136,830.1311728395062,966.0262345679009,996.6026234567902
733.9,2541,49.92756903576279,853.0303030303028,970.6060606060605,997.060606060606
739.0,2722,48.122950819672134,850.1193975018367,970.0238795003672,997.0023879500368
744.0,2810,46.570281124497996,848.1405693950177,969.6281138790038,996.9628113879004
749.1,3065,45.05642519111758,846.0603588907012,969.2120717781403,996.921207177814
754.2,3171,41.41680960548885,842.0135603910437,968.4027120782089,996.8402712078208
759.4,3284,43.66666666666667,844.3209500609014,968.8641900121803,996.8864190012179
765.8,3481,58.55835583558356,860.3203102556736,972.0640620511344,997.2064062051134
770.9,3636,40.83969465648855,840.3740374037405,968.0748074807482,996.8074807480747
775.9,3161,49.15453915453916,850.2689022461243,970.053780449225,997.0053780449224
781.0,3086,45.01241575026606,846.0709656513288,969.214193130266,996.9214193130265
786.1,3086,44.111818825194625,845.1231367465972,969.0246273493195,996.9024627349321
793.9,3578,53.19240724762727,854.5136948015648,970.9027389603128,997.0902738960312
798.9,17537,23.798255117751044,817.2478188971886,963.4495637794378,996.3449563779438
804.0,15743,31.71769787828738,827.1485739693829,965.4297147938769,996.5429714793877
809.0,15984,26.184934934934937,820.2311686686685,964.0462337337339,996.4046233733732
814.0,8637,25.745715609078275,819.6856547412297,963.937130948246,996.3937130948248
819.0,5694,27.11504424778761,821.6324200913242,964.3264840182649,996.4326484018264
824.3,4729,24.885927264513217,821.4897441319515,964.2979488263906,996.429794882639
830.7,5281,25.804620997162548,823.2673736034841,964.6534747206967,996.4653474720699
835.8,3185,38.40924541128484,838.657770800628,967.7315541601257,996.7731554160125
840.8,1990,74.90483958673192,876.8090452261304,975.3618090452263,997.5361809045224
846.0,4003,24.471632159182576,821.8273794654009,964.3654758930801,996.4365475893082
851.1,2976,41.31480090157776,842.5907258064514,968.5181451612901,996.8518145161288
856.2,2096,29.212228101116988,834.4465648854962,966.8893129770995,996.68893129771
861.4,1384,72.10338680926917,877.3843930635836,975.4768786127167,997.5476878612719
866.4,2958,33.31415420023015,834.3390804597702,966.8678160919543,996.6867816091956
871.5,2258,64.9976492712741,867.0283436669619,973.4056687333923,997.3405668733392
876.6,4436,18.461162677088424,814.393597835888,962.8787195671777,996.2878719567176
881.7,2477,50.2355460385439,853.0884134033103,970.6176826806621,997.061768268066
886.9,2043,67.45817593092283,870.4845814977972,974.0969162995594,997.4096916299558
893.7,3760,37.86335403726709,839.7340425531914,967.9468085106382,996.794680851064
898.8,2985,39.642857142857146,840.7621440536011,968.1524288107202,996.8152428810721
903.8,2300,56.853725850965965,859.2173913043478,971.8434782608695,997.1843478260871
908.9,2568,54.85633346823149,856.5615264797506,971.3123052959502,997.131230529595
916.1,3261,47.21563154221912,848.2137381171418,969.6427476234281,996.964274762343
921.1,14023,32.731422051062616,828.4158168722813,965.6831633744564,996.5683163374458
926.1,12662,34.7705552484006,830.9646975201385,966.1929395040277,996.6192939504028
931.2,16306,26.83552066723905,821.0444008340486,964.2088801668098,996.4208880166811
936.2,9135,21.087027914614122,813.8587848932675,962.7717569786533,996.2771756978652
941.3,4891,23.43234323432343,817.0926190962988,963.4185238192595,996.3418523819261
946.3,3640,35.45238095238095,833.8461538461536,966.7692307692305,996.6769230769232
951.6,3052,43.62222222222222,845.1425294888597,969.0285058977721,996.9028505897775
958.1,3620,40.80610021786492,842.2030386740331,968.4406077348065,996.8440607734809
963.2,3095,34.59051724137932,834.35379644588,966.8707592891761,996.6870759289174
968.2,2797,40.117171717171715,841.982481229889,968.3964962459777,996.8396496245977
973.3,2531,50.36733837111671,853.2892137495058,970.6578427499011,997.0657842749903
978.3,2494,51.21925360474979,853.8793103448274,970.7758620689655,997.0775862068966
983.4,2647,34.90094745908699,836.8435965243673,967.3687193048735,996.736871930487
988.6,2478,39.15142991092358,841.7372881355931,968.3474576271185,996.8347457627118
993.6,2591,52.8102336825141,854.7954457738324,970.9590891547666,997.0959089154765
998.8,2807,36.43284176962934,837.3352333452082,967.4670466690418,996.7467046669043
1003.9,2636,46.20526088831394,848.5584218512896,969.7116843702579,996.9711684370258
1009.0,2614,42.4866785079929,845.2180566182095,969.0436113236419,996.9043611323642
1014.4,2427,60.69864213753833,863.0304903172641,972.606098063453,997.2606098063452
1021.4,2460,61.35727611940299,866.321138211382,973.2642276422763,997.3264227642276
1026.4,2054,62.579702444208294,865.7132424537488,973.1426484907497,997.3142648490751
1033.9,2838,49.73851030110935,851.8058491895699,970.3611698379141,997.0361169837913
1038.9,15331,29.904768116887354,824.8809601461091,964.976192029222,996.4976192029222
1044.0,12770,38.11653222648602,835.1468285043067,967.029365700861,996.7029365700863
