t_sec,rate_per_sec
993.6,332.0142526572775
998.8,286.51685721447376
1003.9,309.3596030046472
1009.0,282.4547538853458
1014.4,303.46874237804644
1021.4,235.2941220469404
1026.4,282.8503314387307
1033.9,241.51750505492944
1038.9,1736.7792516121692
1044.0,1645.4564168070835
1049.0,1730.639059665353
1054.0,1374.7268051834558
1059.2,744.4856318720442
1064.2,458.5144178948261
1069.3,325.3249419506143
1074.4,337.1506087610032
1079.5,314.268752897661
1086.5,293.21164365370834
1091.6,320.1970413264661
1096.7,323.712947193493
1101.8,297.3984951248946
1106.9,298.9066783036532
1112.2,305.3666016466921
1117.5,238.1852461811452
1122.6,285.60173877917003
1127.7,283.7282231676386
1132.8,345.387739060617
1138.2,330.8892645434549
1143.2,321.35096484882433
1149.7,314.17565439195494
1154.9,315.86101108088695
1161.7,243.64591770359243
1166.8,1690.2077725308395
1171.8,1331.3503912064534
1176.9,1551.9223135314876
1181.9,2207.3705263151896
1187.0,694.3514933585107
1192.0,525.8141368108863
1197.1,483.24791918240004
1202.2,376.12173766309417
1207.3,328.23829598599445
1213.7,311.5522865131602
1218.7,306.1708864224533
1224.0,93.89940978975255
1229.0,214.15822974756472
1234.1,266.457687918012
1239.3,320.2929193405477
1244.5,125.23973948449002
1249.6,88.5550501381216
1254.7,211.08699916988567
1259.7,263.2515825764117
1265.0,276.5916987610687
1270.1,148.0123458675924
1277.0,280.59745152109394
1282.4,201.83658300777907
1287.6,162.83964571528836
1292.7,192.17855164220393
1297.7,281.1822633679182
1302.8,291.099274825435
1307.9,297.9018183616661
1312.9,316.75548209818515
1318.0,307.1598104742054
1323.0,231.27489029302544
1328.1,1624.9260947049775
1333.1,1893.909262272447
1339.8,1877.5479295824841
1344.9,585.2789984268336
1349.9,440.2216903895982
1355.0,394.96630964988566
1360.0,322.86730550982804
1365.1,274.2574283322007
1370.2,272.3152683773391
1375.2,282.3716051650267
1380.3,300.1167762875508
1385.4,249.40804666455566
1390.9,235.26210725696333
1396.1,230.1359350157599
1403.8,171.08370553522423
1408.9,224.01398549375597
1414.0,229.04696170545012
1419.2,157.37203789052197
1424.3,225.61807180395522
1429.4,233.52351227954196
1434.6,196.11273153363527
1439.6,208.98167628590355
1444.7,192.97552977684765
1449.8,230.78420200154696
1455.3,204.85026345405922
1460.5,201.40738317693442
1468.2,154.81335972186184
1473.5,145.90411208139102
1478.6,105.84795577442144
1483.6,65.04873746286773
1490.3,0
1495.4,0
1500.4,0
